time_hours,CommunityReplicate,SangerID,Genus,type,Family,ChromoType,mean.glu,abs.mean,pH.orig,aceConc_nmol_uL,succConc_nmol_uL,lacConc_nmol_uL
28,C1R7,283,Enterobacter,mono,Enterobacteriacea,B,0,0.110333333,5.147107317,14.86369691,0.5467297,6.678513873
28,C1R7,284,Serratia,mono,Enterobacteriacea,B,0,0.183666667,6.27687424,6.525525472,0.780914077,3.788585798
28,C1R7,286,Citrobacter,mono,Enterobacteriacea,B,0,0.149333333,4.396847042,14.74285384,0.434226791,6.429605079
28,C1R7,287,Raoultella,mono,Enterobacteriacea,B,0,0.189333333,6.252164236,8.410677275,0.025387549,4.289635968
28,C1R7,440,Enterobacter,mono,Enterobacteriacea,B,0,0.197666667,6.066353964,9.54660208,0.522078713,0.210117813
28,C1R7,441,Pseudomonas,mono,Pseudomonadaceae,W,0,0.189,6.3585967,0.50754087,0.038237532,0.029093236
28,C1R7,442,Enterobacter,mono,Enterobacteriacea,B,0,0.185333333,5.322428129,14.8395283,0.595507185,6.516884786
28,C2R4,160,Enterobacter,mono,Enterobacteriacea,B,0,0.175666667,5.006857664,11.62510279,0.421418537,7.354123457
28,C2R4,165,Raoultella,mono,Enterobacteriacea,B,0,0.148,5.690342855,9.957468498,0.316214463,7.842243299
28,C2R4,169,Citrobacter,mono,Enterobacteriacea,B,0,0.164666667,4.592678668,11.43175388,0.33521907,5.776623568
28,C2R4,523,Pseudomonas,mono,Pseudomonadaceae,W,0,0.183,6.363493344,0.628383934,0.024584247,0.01939549
28,C2R6,276,Enterobacter,mono,Enterobacteriacea,B,0,0.164333333,4.976675107,13.80027794,0.516571578,6.180696285
28,C2R6,277,Raoultella,mono,Enterobacteriacea,B,0,0.156666667,5.285247846,11.81845169,0.320674904,7.871336535
28,C2R6,278,Citrobacter,mono,Enterobacteriacea,B,0,0.165,4.662880112,15.25039471,0.430293123,5.967345891
28,C2R8,288,Raoultella,mono,Enterobacteriacea,B,0,0.162,5.966499379,11.67344001,0.269574515,8.517852883
28,C2R8,289,Citrobacter,mono,Enterobacteriacea,B,0,0.165,4.706966936,16.02379033,0.477705313,5.498621538
28,C2R8,290,Pseudomonas,mono,Pseudomonadaceae,W,0,0.19,6.3585967,0.265854741,0.024026945,0
28,C2R8,444,Pseudomonas,mono,Pseudomonadaceae,W,0,0.188,6.400972425,0.290023354,0.023767107,0.003232582
28,C4R1,294,Pseudomonas,mono,Pseudomonadaceae,W,0.007766443,0.061666667,6.350299123,0,0.024806461,0
28,C4R1,295,Klebsiella,mono,Enterobacteriacea,B,0,0.206666667,6.085576543,10.1508174,0.315046287,3.979308121
28,C7R1,303,Enterobacter,mono,Enterobacteriacea,B,0,0.215333333,5.743960552,9.2082415,0.221504356,0.491352424
28,C7R1,304,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.097333333,6.448305977,0.604215322,0.01909001,0
28,C7R1,305,Klebsiella,mono,Enterobacteriacea,B,0,0.208666667,5.72356402,9.063229823,0.269314677,0.617423112
28,C7R1,308,Enterobacter,mono,Enterobacteriacea,B,0,0.212333333,6.304880723,8.483183114,0.19474097,0.753191545
28,C8R2,310,Klebsiella,mono,Enterobacteriacea,B,0,0.229333333,6.31858073,8.338171437,0.196300002,1.83933901
